NO.,CUSTOMER,PROJECT NAME,MATERIAL / JASA,NO. PO,NO. INVOICE,TGL INVOICE, PROJECT PRICE ,%, RP , PPN , PPH , TOTAL PRICE ,KET,LUNAS/BLM,,
58,ARTHA PRIMA HUMATINDO,"SITE INSTALLATION 2,5MK",JASA,-,ZSBI-INV/18/I/1265,05-Jan-18,"190,000,000",30%,"125,985,000","12,598,500", - ,"138,583,500",LUNAS 12/01/2018,LUNAS,,
,,PIPING MAIN LINE INSTALLATION,,,ZSBI-INV/18/III/1296,05-Mar-18,"65,850,000",40.57%,"170,373,715","17,037,372", - ,"187,411,087",,,,
,,PIPING INSULATION (INCLUDING MATERIAL),,,,,,, DP ,,,"-100,000,000",LUNAS 23/03/2018,LUNAS,,
,,,,,,,"164,100,000",, SP ,,,"-87,411,087",LUNAS 12/04/2018,LUNAS,,
,,,,,ZSBI-INV/18/IV/1312,25-Apr-18,,22.33%,"93,774,835","9,377,484", - ,"103,152,319",LUNAS 07/05/2018,LUNAS,,
,,ADDITION WORK & COMMISSIONING,,,ZSBI-INV/18/V/1318,09-May-18,,7.10%,"29,816,450","2,981,645", - ,"32,798,095",LUNAS 02/07/2018,LUNAS,,
,,,,PO/APH/03-2018/037,ZSBI-INV/18/V/1319,09-May-18,"35,970,000",100%,"35,970,000","3,597,000", - ,"39,567,000",,,,
,,,,,,,,, DP ,,,"27,201,905",LUNAS 02/07/2018,LUNAS,,
,,,,,,,,, SEC.PAY ,, SISA ,"12,365,095",LUNAS 16/08/2018,LUNAS,,
59,BANGUN RINGAN PERKASA,LONG PIN L=2200mm,MATERIAL,BRP2018/JC-01/0005,ZSBI-INV/18/I/1266,10-Jan-18,"22,800,000",100%,"22,800,000","2,280,000", - ,"25,080,000",LUNAS 16/01/2018,LUNAS,,
60,MANDALA UTAMA (AGUS),U-BOLT 14,MATERIAL,33/MU-TECHNIK/100118,ZSBI-INV/18/I/1267,10-Jan-18,"4,600,000",100%,"4,181,800","418,200", - ,"4,600,000",LUNAS 05/02/2018,LUNAS,,
61,SANTOSO GEMABAHAGIA,"PASSIVE BAR T24, DRIVING BAR 48",MATERIAL,PO/0049/I/2018,ZSBI-INV/18/I/1268,11-Jan-18,"25,000,000",100%,"25,000,000","2,500,000", - ,"27,500,000",LUNAS 30/01/2018,LUNAS,,
62,SANTOSO GEMABAHAGIA,"ONGKIR PASSIVE BAR T24, DRIVING BAR 48",ONGKIR,PO/0049/I/2018,ZSBI-INV/18/I/1269,11-Jan-18,"1,250,000",100%,"1,250,000", - , - ,"1,250,000",LUNAS 30/01/2018,LUNAS,,
63,JIALE INDONESIA TEXTILE,"INSULATION MATERIAL FOR 6MK BOILER, INSULATION MATERIAL FOR 10t/h BOILER",JASA,ZS.JL-RM/18/I/069,ZSBI-INV/18/I/1270,11-Jan-18,"137,137,000",40%,"54,854,800", - , - ,"54,854,800",LUNAS 15/01/2018,LUNAS,,
,,,,,ZSBI-INV/18/I/1275,23-Jan-18,,60%,"82,282,200", - , - ,"82,282,200",LUNAS 12/02/2018,LUNAS,,
64,BROCO AERATED CONCRETE INDUSTRY,PENINGGIAN CHIMNEY FURNACE,JASA,00002/LM/OKE/01/18,ZSBI-INV/18/I/1271,15-Jan-18,"97,060,842",30%,"61,500,000","6,150,000","157,435","67,492,565",LUNAS 30/01/2018,LUNAS,,
,,PENINGGIAN CHIMNEY SAND DRIER,,,ZSBI-INV/18/II/1293,26-Feb-18,"101,562,214",70%,"143,500,000","14,350,000","367,350","157,482,650",LUNAS 14/03/2018,LUNAS,,
,,MOBILISASI LAIN-LAIN,,,,,"6,376,944",,,,,,,,,
65,ELANG PERDANA TYRE INDUSTRY,ONE YEAR MAINTENANCE FEE COAL BOILER 2018,JASA,18/01/PO/00161,ZSBI-INV/18/I/1272,18-Jan-18,"70,000,000",30%,"21,000,000","2,100,000", - ,"23,100,000",LUNAS 31/01/2018,LUNAS,,
,,,,,ZSBI-INV/18/III/1303,16-Mar-18,,20%,"14,000,000","1,400,000", - ,"15,400,000",LUNAS 27/04/2018,LUNAS,,
,,,,,ZSBI-INV/18/VI/1346,16-Jun-18,,20%,"14,000,000","1,400,000", - ,"15,400,000",LUNAS 05/07/2018,LUNAS,,
,,,,,ZSBI-INV/18/IX/1392,17-Sep-18,,20%,"14,000,000","1,400,000", - ,"15,400,000",LUNAS 10/10/2018,LUNAS,,
,,,,,ZSBI-INV/18/XII/1445,31-Dec-18,,10%,"7,000,000","700,000", - ,"7,700,000",LUNAS 14/02/2019,LUNAS,,
66,MANDALA UTAMA (AGUS),"MIDDLE, RIGHT, LEFT HOLDER 43 L=160, & SPROCKET 6 (14)",MATERIAL,38B/MU-TECHNIK/170118,ZSBI-INV/18/I/1273,18-Jan-18,"8,255,000",100%,"7,504,496","750,504", - ,"8,255,000",LUNAS 05/02/2018,LUNAS,,
67,JIALE INDONESIA TEXTILE,?????? Indikator GST 9700,MATERIAL,ZS.Q-SP/18/I/0248 R1,ZSBI-INV/18/I/1274,23-Jan-18,"8,600,000",100%,"32,100,000", - , - ,"32,100,000",LUNAS 12/02/2018,LUNAS,,
,,?????? Loacell MKCell / QS-30T,,,,,"22,500,000",,,,,,,,,
,,???????????????????? Transportation,,,,,"1,000,000",,,,,,,,,
68,OCEAN ASIA INDUSTRY,"RANTAI 13, U-BOLT 14",MATERIAL,183013,ZSBI-INV/18/I/1276,23-Jan-18,"5,850,000",100%,"5,850,000", - , - ,"5,850,000",LUNAS 14/02/2018,LUNAS,,
69,OCEAN ASIA INDUSTRY,"SAFETY VALVE DN80 PN25 3x4""",MATERIAL,183014,ZSBI-INV/18/I/1277,23-Jan-18,"5,900,000",100%,"5,900,000", - , - ,"5,900,000",LUNAS 14/02/2018,LUNAS,,
70,BPK ANTO YUSUF,U-BOLT (INCLUDE RING & MUR),MATERIAL,ANTO2/18/I/005,ZSBI-INV/18/I/1278,25-Jan-18,"400,000",100%,"363,625","36,375", - ,"400,000",LUNAS 05/02/2018,LUNAS,,
71,PACIFIC EASTERN COCONUT UTAMA,VALVE BLOWDOWN DN50 PN25 FLANGE,MATERIAL,HOPO1801052,ZSBI-INV/18/I/1279,29-Jan-18,"9,250,000",100%,"9,250,000","925,000", - ,"10,175,000",LUNAS 05/02/2018,LUNAS,,
