NO.,CUSTOMER,PROJECT NAME,MATERIAL / JASA,NO. PO,NO. INVOICE,TGL INVOICE, PROJECT PRICE ,%, RP , PPN , PPH , TOTAL PRICE ,KET,LUNAS/BLM,,
240,POLINDO UTAMA,TANGGA CHIMNEY & PLATFORM (U/INSTALASI BOILER KAP.4T/H),MATERIAL,PO/PU/19/02/000097,ZSBI-INV/19/II/1477,20-Feb-19,"19,500,000",30%,"5,850,000","585,000", - ,"6,435,000",LUNAS 21/02/2019,LUNAS,,
,,,,,ZSBI-INV/19/III/1485,08-Mar-19,,70%,"13,650,000","1,365,000", - ,"15,015,000",LUNAS 13/03/2019,LUNAS,,
241,ANUGERAH DWI PRATAMA,T-24 LENGKUNG,MATERIAL,015/ADP-PO/II/2019,ZSBI-INV/19/II/1478,20-Feb-19,"360,000",100%,"360,000","36,000", - ,"396,000",LUNAS 25/03/2019,LUNAS,,
242,MANDALA UTAMA (AGUS),"Y-45,T-24,T-18,GRATE BAR 331",MATERIAL,50/MU-TECHNIK/281218,ZSBI-INV/19/II/1479,21-Feb-19,"119,606,000",100%,"108,732,727","10,873,273", - ,"119,606,000",,LUNAS,,
,,,,,,,,, DP ,,"-50,000,000","69,606,000",LUNAS 25/02/2019,,,
,,,,,,,,, SEC.PAY ,,"-69,606,000", - ,LUNAS 26/02/2019,,,
243,MANDALA UTAMA (AGUS),"RANTAI 13, U-BOLT 12mm,TRANS.PRESS 0-2,5MPa,TRANS.FURNACE 400Pa,CHAIN TRAVELL.160x6",MATERIAL,51/MU-TECHNIK/260119,ZSBI-INV/19/II/1480,25-Feb-19,"38,626,000",100%,"38,626,000","3,862,600", - ,"42,488,600",LUNAS 25/02/2019,LUNAS,,
244,RUBICON JAYA ABADI,"CHAIN GRATE T24 TYPE KACAMATA (LENGKUNG), LONG AS L=1968mm",MATERIAL,027/RJA/II/2019,ZSBI-INV/19/II/1481,26-Feb-19,"4,025,000",100%,"4,025,000","402,500", - ,"4,427,500",LUNAS 26/02/2019,LUNAS,,
245,ABADI MAKMUR PERKASA,INDUCTIVE FLOAT SENSOR UHGG-31A-G L=440mm,MATERIAL,-,ZSBI-INV/19/III/1482,01-Mar-19,"6,530,000",100%,"6,530,000","653,000", - ,"7,183,000",LUNAS CAIR DI 01/03/2019,"LUNAS, CEK",,
246,ABADI MAKMUR PERKASA,"INDICATOR SZD-B 2,5MPA",MATERIAL,-,ZSBI-INV/19/III/1483,01-Mar-19,"6,800,000",100%,"6,800,000","680,000", - ,"7,480,000",LUNAS CAIR DI 01/03/2019,"LUNAS, CEK",,
247,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA.18mm X 1710cm,MATERIAL,192000115,ZSBI-INV/19/III/1484,08-Mar-19,"2,400,000",100%,"2,400,000","240,000", - ,"2,640,000",INV 05/03/2019,LUNAS BCA 02/05/2019,,
248,MANDALA UTAMA (AGUS),"RANTAI 13, U-BOLT 12mm, LAMPU SIGHT GLASS",MATERIAL,52/MU-TECHNIK/010319,ZSBI-INV/19/III/1487,08-Mar-19,"11,950,000",100%,"11,950,000","1,195,000", - ,"13,145,000",LUNAS 15/03/2019,LUNAS,,
249,BERKAH ABADI ENGINEERING,DIGITAL DISPLAY CONTROLLER XMZ-608,MATERIAL,-,ZSBI-INV/19/III/1488,11-Mar-19,"3,000,000",100%,"2,727,273","272,727", - ,"3,000,000",POTONG TAGIHAN DI BBK 1903-013 TGL 18/03/2019  (DETAIL LIHAT DI BON 3 CLEAR ZS-CHFD),LUNAS,,
250,DUCON TETRABLOK INDONESIA,"Y-47, AS CHAIN GRATE DIA.18x1710cm",MATERIAL,192000129,ZSBI-INV/19/III/1489,12-Mar-19,"4,800,000",100%,"4,800,000","480,000", - ,"5,280,000",INV 12/03/2019,LUNAS BCA 02/05/2019,,
251,ELANG PERDANA TYRE INDUSTRY,"U-BOLT,RANTAI 13,SCRAPPER,SMALL IDLE,SPROCKET PENGGERAK,SHAFT PENGGERAK",MATERIAL,19/02/PO/01422,ZSBI-INV/19/III/1490,18-Mar-19,"12,220,000",100%,"12,220,000","1,222,000", - ,"13,442,000",LUNAS 22/04/2019,LUNAS,,
252,ANUGERAH DWI PRATAMA,T-24 LENGKUNG,MATERIAL,031/ADP-PO/III/2019,ZSBI-INV/19/III/1492,19-Mar-19,"720,000",100%,"720,000","72,000", - ,"792,000",INV 19/03/2019,LUNAS BCA 08/05/2019,,
253,POLINDO UTAMA,"PEMASANGAN COVER ISOLATING ALUMINIUM PIPA STEAM 4"" & HEADER 12"" (SET)",MATERIAL,PO/PU/19/03/000478,ZSBI-INV/19/III/1493,19-Mar-19,"12,155,000",30%,"3,646,500","364,650", - ,"4,011,150",LUNAS 20/03/2019,LUNAS,,
,,,,,ZSBI-INV/19/III/1494,26-Mar-19,,70%,"8,508,500","850,850", - ,"9,359,350",LUNAS 01/04/2019,LUNAS,,
254,SANDATEX WENPINDO,"RANTAI 13,U-BOLT,GEAR BINTANG",MATERIAL,000168/PTSW/2019,ZSBI-INV/19/III/1495,02-Apr-19,"15,540,000",100%,"15,540,000","1,554,000", - ,"17,094,000",LUNAS 11/04/2019,LUNAS,,
255,JIALE INDONESIA TEXTILE,"LONG SHAFT D.18 L=2500mm, TRANSPORT",MATERIAL,ZS.JL-SP/19/III/083,ZSBI-INV/19/III/1496,29-Mar-19,"21,000,000",100%,"21,000,000", - , - ,"21,000,000",LUNAS 15/04/2019,LUNAS,,
256,SEMPANA SARANA TEKNIK,NOZZLE WATER MEMBRANE 316L,MATERIAL,027/III/SST/19,ZSBI-INV/19/IV/1499,08-Apr-19,"1,800,000",100%,"1,800,000","180,000", - ,"1,980,000","LUNAS bca 02/05/19 : 23,980,000",BELUM,,
257,MANDALA UTAMA (AGUS),"SMALL IDLER, SPROCKET 6 GIGI (18)",MATERIAL,53/MU-TECHNIK/090419,ZSBI-INV/19/IV/1500,09-Apr-19,"5,450,000",100%,"5,450,000","545,000", - ,"5,995,000",INV 09/04/2019,LUNAS 27/05/2019 10JT,,
258,DUA KUDA INDONESIA,CHEMICAL CLEANING 15T BOILER,JASA,ZS.DKI-M/19/IV/073,ZSBI-INV/19/IV/1501,16-Apr-19,"14,000,000",100%,"14,000,000","1,400,000", - ,"15,400,000",LUNAS 29/04/2019,LUNAS,,
259,DUA KUDA INDONESIA,"SPAREPARTS FOR 6UNITS BOILER (4T,15T,20T,1,2MK, 8MK,12MK BOILERS)",MATERIAL,ZS.Q_SP/19/IV/0408R1,ZSBI-INV/19/IV/1502,22-Apr-19,"490,997,150",,"67,579,200","6,757,920", - ,"74,337,120",LUNAS 29/04/2019,LUNAS,,
,,,,,ZSBI-INV/19/V/1530,22-May-19,,,"423,417,950","42,341,795", - ,"465,759,745",LUNAS 28/05/2019,LUNAS 28/05,,
260,BERKAH ABADI ENGINEERING,REDUCER GEAR ZQ250,MATERIAL,013/PO/BAE/III/19,ZSBI-INV/19/IV/1503,23-Apr-19,"7,695,000",100%,"7,695,000","769,500", - ,"8,464,500",POTONG TAGIHAN DI BBK 1904-004 TGL 15/04/19 (DETAIL LIHAT DI BON 4 CLEAR ZS-CHFD),LUNAS,,
261,JIALE INDONESIA TEXTILE,PRESSURE GAUGE Y-150,MATERIAL,0004/A/220419,ZSBI-INV/19/IV/1504,23-Apr-19,"5,750,000",100%,"5,750,000", - , - ,"5,750,000",INV 23/04/2019,LUNAS 23/05/2018,,
262,ABADI MAKMUR PERKASA,"COIL OF FLOAT SENSOR UHGG, GLOBE VALVE DN40 PN25",MATERIAL,-,ZSBI-INV/19/IV/1505,25-Apr-19,"3,888,000",100%,"3,888,000","388,800", - ,"4,276,800",LUNAS 29/04/2019,LUNAS,,
263,DUCON TETRABLOK INDONESIA,"Y-47, AS CHAIN GRATE DIA.18x1710cm",MATERIAL,192000129,ZSBI-INV/19/IV/1506,25-Apr-19,"3,900,000",100%,"3,900,000","390,000", - ,"4,290,000",LUNAS 29/05/2019,LUNAS,,
264,DUA KUDA INDONESIA,LONG PIN DIA.18x2780mm,MATERIAL,0068/PO/PD/04/2019 (ZS.Q_SP/19/IV/0409),ZSBI-INV/19/IV/1507,29-Apr-19,"23,760,000",100%,"23,760,000","2,376,000", - ,"26,136,000",INV 29/04/2019,LUNAS BCA 15/05/2019,,
265,POLINDO UTAMA,MOTOR INDUCTION 3 PHASE MERK SIEMENS 50HP/37.5KW 1780RPM,MATERIAL,PO/PU/19/04/000957,ZSBI-INV/19/IV/1508,29-Apr-19,"19,500,000",100%,"19,500,000","1,950,000", - ,"21,450,000",INV 29/04/2019,LUNAS BCA 13/06/2019,,
266,SEMPANA SARANA TEKNIK,"TRANSMITTER SY-2088 2,5MPA",MATERIAL,027/IV/SST/19,ZSBI-INV/19/IV/1509,29-Apr-19,"7,500,000",100%,"7,500,000","750,000", - ,"8,250,000",LUNAS BCA 02/07/2019,LUNAS BCA 02/07/2019,,
267,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA.18mm x 1710cm,MATERIAL,192000221,ZSBI-INV/19/IV/1510,03-May-19,"2,400,000",100%,"2,400,000","240,000", - ,"2,640,000",INV 03/05/2019,LUNAS BCA 26/06/2019,,
268,CV. BERKAH ABADI ENGINEERING,"GRATE BAR 318; 2,5 MPA PRESSURE REGULATOR YXC-150",MATERIAL,019/PO/BAE/V/19,ZSBI-INV/19/IV/1511,02-May-19,"8,250,000",100%,"8,250,000","825,000", - ,"9,075,000",INV 02/05/2019,POTONG TAGIHAN DI BBK 1905-005 TGL 20/05/19 ,,
269,CV. BERKAH ABADI ENGINEERING,U BOLT 14,MATERIAL,-,ZSBI-INV/19/IV/1512,02-May-19,"2,500,000",100%,"2,500,000","250,000", - ,"2,750,000",INV 02/05/2019,POTONG TAGIHAN DI BBK 1905-005 TGL 20/05/19 ,,
270,SEMPANA SARANA TEKNIK,LAMPU & TRAVO,MATERIAL,029/V/SST/V/1513,ZSBI-INV/19/IV/1513,03-May-19,"1,400,000",100%,"1,400,000","140,000", - ,"1,540,000",LUNAS BCA 02/07/2019,LUNAS BCA 02/07/2019,,
271,ELANG PERDANA TYRE INDUSTRY,ADJUSTING BUSHING (ATAS) ; BUSHING & HOUSING (BAWAH &ATAS),MATERIAL,19/04/PO/02316,ZSBI-INV/19/IV/1514,06-May-19,"4,760,000",100%,"4,760,000","476,000", - ,"5,236,000",INV 06/05/2019,LUNAS BCA 02/07/2019,,
272,CV. BERKAH ABADI ENGINEERING,SAFETY VALVE PN 16;IN/OUT: DN40/DN50,MATERIAL,021/PO/BAE/V/19,ZSBI-INV/19/IV/1515,06-May-19,"2,400,000",100%,"2,400,000","240,000",,"2,640,000",INV 06/05/2019,POTONG TAGIHAN DI BBK 1905-005 TGL 20/05/19 ,,
273,RUBICON JAYA ABADI,GEAR SPROCKET CHAIN GRATE BOILER,MATERIAL,009/RJA/V/2019,ZSBI-INV/19/IV/1515-A,08-May-19,"2,509,090",100%,"2,509,090","250,909", - ,"2,759,999",INV 06/05/2019,LUNAS BCA 09/05/2019,,
274,ANUGERAH DWI PRATAMA,SAFETY VALVE DN65 PN16,MATERIAL,053/ADP-PO/V/2019,ZSBI-INV/19/IV/1515-B,09-May-19,"7,560,000",100%,"7,560,000","756,000",,"8,316,000",INV 06/05/2019,LUNAS BCA 27/06/2019,,
275,JIALE INDONESIA TEXTILE,TWO UNIT BOILER OVERHAUL,JASA,ZS.JL-M/19/V/084R1,ZSBI-INV/19/IV/1517,11-May-19,"77,700,000",40%,"31,080,000","3,108,000",,"34,188,000",INV 11/05/2019,LUNAS BCA 15/05/2019,,
,,,,,ZSBI-INV/19/IV/1547,11-Jun-19,,60%,"46,620,000","4,662,000",,"51,282,000",INV 11/06/2019,LUNAS 12/07/2019,,
276,ELANG PERDANA TYRE INDUSTRY,GEAR BOX JZQ 250 - TRANSMISSION RATIO 40:17,MATERIAL,19/05/PO/02862,ZSBI-INV/19/IV/1518,13-May-19,"7,600,000",100%,"7,600,000","760,000",,"8,360,000",INV 13/05/2019,LUNAS BCA 02/07/2019,,
277,BERKAH EMAS SUMBER TERANG,GEAR SPROCKET 6 GIGI (RANTAI 18MM),MATERIAL,OPP-1905-00094,ZSBI-INV/19/IV/1519,20-May-19,"1,970,000",100%,"1,970,000","197,000",,"2,167,000",INV 20/05/2019,LUNAS BCA 11/06/2019,,
278,SEMPANA SARANA TEKNIK,SEALING BAR,MATERIAL,031/V/SST/10,ZSBI-INV/19/IV/1520,14-May-19,"6,500,000",100%,"6,500,000","650,000",,"7,150,000",LUNAS BCA 02/07/2019,LUNAS BCA 02/07/2019,,
279,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE 18MM X 1710 CM,MATERIAL,192000261,ZSBI-INV/19/IV/1521,14-May-19,"4,800,000",100%,"4,800,000","480,000",,"5,280,000",INV 14/05/2019,LUNAS BCA 26/06/2019,,
280,ANUGERAH DWI PRATAMA,SAFETY CHAIN A48Y-16C DN50 PN16,MATERIAL,060/ADP-PO/V/2019,ZSBI-INV/19/IV/1523,15-May-19,"3,350,000",100%,"3,350,000","335,000",,"3,685,000",INV 15/05/2019,LUNAS BCA 27/06/2019,,
281,JIALE INDONESIA TEXTILE,HIGH TEMPERATUR CASTABLE & NEW BOILERS WITH CHIMNEY,MATERIAL,ZS.QSP/19/V/421 R1,ZSBI-INV/19/IV/1524,16-May-19,"15,000,000",100%,"15,000,000","1,500,000",,"16,500,000",INV 16/05/2019,LUNAS 23/05/2018 BAYAR PPN 12/12/2019,,
282,SEMPANA SARANA TEKNIK,CHAIN GRATE 200 A; 200 B; 265 A; 265 B; Y CHAIN 48,MATERIAL,032/V/SST/19,ZSBI-INV/19/IV/1525,16-May-19,"30,800,000",100%,"30,800,000","3,080,000",,"33,880,000",LUNAS BCA 02/07/2019,LUNAS BCA 02/07/2019,,
283,DUA KUDA INDONESIA,VALVE BLOWDOWN DN40 PN40,MATERIAL,0048/PO/PD/05/2019,ZSBI-INV/19/IV/1526,16-May-19,"26,000,000",100%,"26,000,000","2,600,000",,"28,600,000",INV 16/05/2019,LUNAS 28/05/2019,,
284,BERKAH EMAS SUMBER TERANG,GRATE BAR P 290MM L 70MM,MATERIAL,OPP-1905-00150,ZSBI-INV/19/IV/1527,20-May-19,"5,300,000",100%,"5,300,000","530,000",,"5,830,000",INV 20/05/2019,LUNAS BCA 11/06/2019,,
285,BATARA ELOK SEMESTA TERPADU,MIDDLE HOLDER CHAIN GRATE DZL25 TON 190MM,MATERIAL,OPP-1905-00302,ZSBI-INV/19/IV/1528,20-May-19,"20,750,000",100%,"20,750,000","2,075,000",,"22,825,000",INV 20/05/2019,LUNAS BCA 28/06/2019,,
286,ANUGERAH DWI PRATAMA,CHAIN GRATE 2 LUBANG T 18MM X 158MM & SHAFT DIA 18X1360MM,MATERIAL,066/ADP-PO/V/2019,ZSBI-INV/19/IV/1529,20-May-19,"1,510,000",100%,"1,510,000","151,000",,"1,661,000",INV 20/05/2019,LUNAS BCA 27/06/2019,,
286,ANUGERAH DWI PRATAMA,SHAFT DIA 18X2500MM,MATERIAL,069/ADP-PO/V/2019,ZSBI-INV/19/IV/1531,23-May-19,"15,000,000",100%,"15,000,000","1,500,000",,"16,500,000",INV 23/05/2019,LUNAS BCA 27/06/2019,,
287,MANDALA UTAMA (AGUS),CHAIN GRATE T18; Y45; T24; RING & SPIT PIN,MATERIAL,054/MU-TECHNIK/230519,ZSBI-INV/19/IV/1532,23-May-19,"9,605,000",100%,"9,605,000","960,500",,"10,565,500",INV 23/05/2019,"LUNAS BCA 27/05/2019 4,005,000 & 02/08/2019 BYR 6,560,500",,
288,POLINDO UTAMA,PERBAIKAN FACTORY STEAM BOILER & PEMBUATAN DUCTING & ID FAN,JASA,PO/PU/19/05/001303,ZSBI-INV/19/IV/1533,24-May-19,"162,000,000",30%,"48,600,000","4,860,000",,"53,460,000",INV 24/05/2019,LUNAS BCA 27/05 & 29/05/2019,,
,,,,,ZSBI-INV/19/IV/1560,15-Jul-19,,70%,"113,400,000","11,340,000",,"124,740,000",INV 15/07/2019,LUNAS BCA 16/07/2019,,
289,PELITA ENAMELWARE,CHAIN GRATE 252,MATERIAL,1910357,ZSBI-INV/19/IV/1534,24-May-19,"15,400,000",100%,"15,400,000","1,540,000",,"16,940,000",INV 24/05/2019,GIRO 10/8/2019 CAIR 16/8/2019,,
290,SEMPANA SARANA TEKNIK,POMPA 25M3,MATERIAL,035/V/SST/19,ZSBI-INV/19/IV/1535,27-May-19,"16,000,000",100%,"16,000,000","1,600,000",,"17,600,000",INV 27/05/2019,LUNAS 16/07/2019,,
291,SEMPANA SARANA TEKNIK,BALL VALVE DN 50 PN25,MATERIAL,037/V/SST/19,ZSBI-INV/19/IV/1536,27-May-19,"1,630,000",100%,"1,630,000","163,000",,"1,793,000",INV 27/05/2019,LUNAS 16/07/2019,,
292,ANUGERAH DWI PRATAMA,"CHAIN GRATE 2 HOLE T,24 (CURVE)",MATERIAL,071/ADP-PO/V/2019,ZSBI-INV/19/IV/1537,27-May-19,"2,050,000",100%,"2,050,000","205,000",,"2,255,000",INV 27/05/2019,LUNAS BCA 27/06/2019,,
293,SEMPANA SARANA TEKNIK,BALL VALVE DN 40 PN25,MATERIAL,037/V/SST/19,ZSBI-INV/19/IV/1538,27-May-19,"1,400,000",100%,"1,400,000","140,000",,"1,540,000",INV 27/05/2019,LUNAS 16/07/2019,,
294,ANUGERAH DWI PRATAMA,CHAIN GRATE T:18MM P:158MM (NON CURVE),MATERIAL,075/ADP-PO/V/2019,ZSBI-INV/19/IV/1539,29-May-19,"2,300,000",100%,"2,300,000","230,000",,"2,530,000",INV 29/05/2019,LUNAS BCA 27/06/2019,,
295,SANTOSO GEMABAHAGIA,GRATE Y48,MATERIAL,PO/0129/VI/2019,ZSBI-INV/19/VI/1540,12-Jun-19,"9,750,000",100%,"9,750,000","975,000",,"10,725,000",INV 12/06/2019,LUNAS BCA 09/072019,,
296,DUA KUDA INDONESIA,Runner Safety Valve Shape,MATERIAL,0078/PO/PD/05/2019,ZSBI-INV/19/V/1541,01-Jun-19,"16,215,000",100%,"16,215,000","1,621,500",,"17,836,500",INV 31/05/2019,LUNAS BCA 19/06/2019,,
297,SEMPANA SARANA TEKNIK,Y CHAIN 48           TRAVELING GREATE T18 TRAVELING GREATE T24,MATERIAL,044/V/SST/19,ZSBI-INV/19/V/1542,01-Jun-19,"7,650,000",100%,"7,650,000","765,000",,"8,415,000",INV 30/05/2019,LUNAS 16/07/2019,,
298,SEMPANA SARANA TEKNIK,GREAT SPROCKET        BLOW DOWN VALVE,MATERIAL,045/VI/SST/19,ZSBI-INV/19/V/1543,03-Jun-19,"8,860,000",100%,"8,860,000","886,000",,"9,746,000",INV 03/06/2019,LUNAS 16/07/2019,,
299,MANDALA UTAMA (AGUS),DISPLAY XMT 608,MATERIAL,51/MU-TECHNIK/010619,ZSBI-INV/19/V/1544,01-Jun-19,"4,800,000",100%,"4,800,000","480,000",,"5,280,000",INV 01/06/2019,LUNAS BCA 11/06/2019,,
300,ANUGERAH DWI PRATAMA,RANTAI TENGAH YB64,MATERIAL,086/ADP-PO/VI/1545,ZSBI-INV/19/V/1545,18-Jun-19,"4,750,000",100%,"4,750,000","475,000",,"5,225,000",INV 18/06/2019,LUNAS BCA 30/7/2019,,
301,ANUGERAH DWI PRATAMA,SHAFT DIA 18MM X 2200M,MATERIAL,076/ADP-PO/V/2019,ZSBI-INV/19/V/1546,10-Jun-19,"715,000",100%,"715,000","71,500",,"786,500",INV 10/06/2019,LUNAS BCA 30/7/2019,,
,JIALE INDONESIA TEXTILE,"TRANSPORT OF LONG SHAFT D.18 L=2500mm, ",MATERIAL,ZS.JL-SP/19/III/083,ZSBI-INV/19/III/1496-B,29-Mar-19,"1,600,000",100%,"1,600,000","160,000", - ,"1,760,000",LUNAS 15/04/2019,"LUNAS, BAYAR PPN 12/12/2019",,
,OCEAN ASIA INDUSTRY,BONGKAR PSG IMPELLER & BALANCING,JASA & MATERIAL,183172,ZSBI-INV/19/I/1451-B,12-Jun-19,"6,000,000",100%,"6,000,000","600,000", - ,"6,600,000",LUNAS 28/11/2018 & 02/04/2019 KURANG BAYAR PPN ,LUNAS,,
303,RUBICON JAYA ABADI,INDUCTIVE FLOAT SENSOR UHGG,MATERIAL,-,ZSBI-INV/19/IV/1548,20-Jun-19,"3,390,910",100%,"3,390,910","339,091",,"3,730,001",INV 20/06/2019,LUNAS BCA 20/06/2019,,
304,MANDALA UTAMA (AGUS),CHAIN GRATE 330 & u-BOLT 14,MATERIAL,60/MU-TECHNIK/010719,ZSBI-INV/19/VII/1549,01-Jul-19,"24,700,000",100%,"24,700,000","2,470,000",,"27,170,000",INV 01/07/2019,"BAYAR 02/08/2019 15JT - INV 1532 rp 6,560,500  SISA 8,439,500  BAYAR 27/8/2019 18,730,500",,
305,MANDALA UTAMA (AGUS),CHAIN GRATE 311 & HOLDER KANAN & GRATE BAR 331,MATERIAL,62/MU-TECHNIK/050719,ZSBI-INV/19/VII/1550,05-Jul-19,"23,800,000",100%,"23,800,000","2,380,000",,"26,180,000",INV 05/07/2019,LUNAS BCA 27/8/2019,,
306,RUBICON JAYA ABADI,WATER DISPLAY CONTROLLER DISPLAY AND ALARM SZD-AG,MATERIAL,001/RJA/VII/2019,ZSBI-INV/19/VII/1551,08-Jul-19,"4,600,000",100%,"4,600,000","460,000",,"5,060,000",INV 08/07/2019,LUNAS BCA 08/072019,,
307,SEMPANA SARANA TEKNIK,CONTROL INSTRUMENT WP 080 + TRANSFORMATOR JBK4-160 + LONG PIN D18 L3250 + SEALING BAR 240X120X115 + SEALING BAR 420X160X115,MATERIAL,043/V/SST/19,ZSBI-INV/19/VII/1552,08-Jul-19,"39,110,000",100%,"39,110,000","3,911,000",,"43,021,000",INV 08/07/2019,LUNAS BCA 21/8/2019,,
308,ABADI MAKMUR PERKASA,BOILER FEED WATER PUMP,MATERIAL,281/AMP/V/2019,ZSBI-INV/19/VII/1553,08-Jul-19,"44,800,000",100%,"44,800,000","4,480,000",,"49,280,000",INV 08/07/2019,LUNAS BCA 09/072019,,
309,DUA KUDA INDONESIA,MANHOLES (88X102) 20G + FOUR CLAWS 219 HT-150,MATERIAL,0026/PO/PD/06/2019,ZSBI-INV/19/VII/1554,08-Jul-19,"54,030,450",100%,"54,030,450","5,403,045",,"59,433,495",INV 08/07/2019,LUNAS BCA 23/7/2019,,
310,ELANG PERDANA TYRE INDUSTRY,EXTRACTOR BOTTOM ASH COAL BOILER (SCRAPPER),MATERIAL,19/06/PO/04182,ZSBI-INV/19/VII/1555,08-Jul-19,"183,000,000",30%,"54,900,000","5,490,000",,"60,390,000",INV 08/07/2019,LUNAS BCA 30/7/2019,,
,,,,,ZSBI-INV/19/IX/1592,06-Sep-19,,70%,"128,100,000","12,810,000",,"140,910,000",INV 06/09/2019,LUNAS BCA 1/11/2019,,
311,GREENTECH GLOBAL ENGINEERING,MIDDLE HOLDER 190,MATERIAL,-,ZSBI-INV/19/VII/1556,11-Jul-19,"2,628,000",100%,"2,628,000","262,800",,"2,890,800",INV 11/07/2019,LUNAS 15/07/2019,,
312,BATARA ELOK SEMESTA TERPADU,BLOWDOWN VALVE DN 50 PN 40,MATERIAL,OPP-1906-00136,ZSBI-INV/19/VII/1557,12-Jul-19,"4,200,000",100%,"4,200,000","420,000",,"4,620,000",INV 12/07/2019,LUNAS BCA 01/8/2019,,
313,SEMPANA SARANA TEKNIK,MEZ THREE PHASE INDUCTION MOTOR,MATERIAL,052/VII/SST/19,ZSBI-INV/19/VII/1558,12-Jul-19,"11,000,000",100%,"11,000,000","1,100,000",,"12,100,000",INV 12/07/2019,LUNAS BCA 21/8/2019,,
314,SEMPANA SARANA TEKNIK,PIN 70 MM INCL RING + COTTER PIN ,MATERIAL,054/VII/SST/19,ZSBI-INV/19/VII/1559,12-Jul-19,"8,750,000",100%,"8,750,000","875,000",,"9,625,000",INV 12/07/2019,CANCEL,,
315,CV. BERKAH ABADI ENGINEERING,"GRATE BAR 318 , 330 , 288",MATERIAL,029/PO/BAE/VII/19,ZSBI-INV/19/VII/1561,17-Jul-19,"6,930,000",100%,"6,930,000","693,000",,"7,623,000",INV 17/07/2019,LUNAS POTONG TAGIHAN,,
316,MANDALA UTAMA (AGUS),GEAR SPROCKET 6 MATA + RANTAI 13 MATA 75X48X12 MM + UBOLT 12MM,MATERIAL,062/MU-TECHNIK/180719,ZSBI-INV/19/VII/1562,18-Jul-19,"12,260,000",100%,"12,260,000","1,226,000",,"13,486,000",INV 18/07/2019,"BAYAR 27/08/2019 50JT - INV 1549 rp   18,730,500 & INV 1550 - SISA UNTUK INV INI 1,339,500 BAYAR TGL 03/10/2018 60,000,000JADI UNTUK INV INI 12,146,500 - LUNAS 03/10/2019",,
317,SEMPANA SARANA TEKNIK,Y CHAIN 48           ,MATERIAL,055/VII/SST/19,ZSBI-INV/19/VII/1563,19-Jul-19,"7,000,000",100%,"7,000,000","700,000",,"7,700,000",INV 19/07/2019,LUNAS BCA 21/8/2019,,
318,ELANG PERDANA TYRE INDUSTRY,PERBAIKAN ECONOMIZER COAL BOILER ,MATERIAL & JASA,19/06/PO/04020,ZSBI-INV/19/VII/1564,23-Jul-19,"8,300,000",100%,"8,300,000","830,000",,"9,130,000",INV 23/07/2019,LUNAS BCA 29/8/2019,,
319,MANDALA UTAMA (AGUS),PT 100 WZP 300 L150,MATERIAL,063/MU-TECHNIK/260719,ZSBI-INV/19/VII/1565,26-Jul-19,"2,100,000",100%,"2,100,000","210,000",,"2,310,000",INV 26/07/2019,LUNAS 03/10/2019,,
320,SEMPANA SARANA TEKNIK,MELCO & SAFETY VALVE DN 50 PN 16,MATERIAL,056/VII/SST/19,ZSBI-INV/19/VII/1566,30-Jul-19,"4,530,000",100%,"4,530,000","453,000",,"4,983,000",INV 30/07/2019,LUNAS BCA 21/8/2019,,
321,ANUGERAH DWI PRATAMA,GRATE BAR 330,MATERIAL,113/ADP-PO/7/2019,ZSBI-INV/19/VII/1567,31-Jul-19,"40,000,000",100%,"40,000,000","4,000,000",,"44,000,000",INV 31/07/2019,LUNAS BCA 10/09/2019,,
322,ANUGERAH DWI PRATAMA,SHAFT DIA 18MM X 2200M,MATERIAL,114/ADP-PO/7/2019,ZSBI-INV/19/VII/1568,31-Jul-19,"3,800,000",100%,"3,800,000","380,000",,"4,180,000",INV 31/07/2019,LUNAS BCA 10/09/2019,,
323,PT. MITRA KARYA TEXINDO,LONG AS D18 X L2400 & PELAMPUNG FLOAT SENSOR UHGG & LONG AS D18 X L2400,MATERIAL,7677 & 7677 B,ZSBI-INV/19/VII/1569,02-Aug-19,"24,970,000",100%,"24,970,000","2,497,000",,"27,467,000",INV 02/08/2019,LUNAS BCA 02/082019,,
324,CV. BERKAH ABADI ENGINEERING,U BOLT 14 + RANTAI 13 RING DIA14MM,MATERIAL,021/PO/BAE/VII/19,ZSBI-INV/19/VIII/1570,02-Aug-19,"3,770,000",100%,"3,770,000","377,000",,"4,147,000",INV 02/08/2019,LUNAS POTONG TAGIHAN,,
325,OCEAN ASIA INDUSTRY,"WATER LEVEL GAUGE COLOR TYPE :B49 X-2,5L=350",MATERIAL,OA/PO/2019/000182,ZSBI-INV/19/VII/1571,06-Aug-19,"8,400,000",100%,"8,400,000", - ,,"8,400,000",INV 06/08/2019 (KAWASAN BERIKAT),LUNAS BCA 25/9/2019,,
326,BERKAH EMAS SUMBER TERANG,CONTROLLER GRADE JD1A-40,MATERIAL,OPP-1907-00289,ZSBI-INV/19/VIII/1572,06-Aug-19,"1,100,000",100%,"1,100,000", - ,,"1,100,000",INV 06/08/2019 (KAWASAN BERIKAT),LUNAS BCA 13/09/2019,,
